samplename,readCounts,condition,rank_readCounts,unique_miRs,rank_unique
A781,1915974.0528105053,A,1,226,68
A649,1908248.7633633534,A,2,236,67
A308,1545138.3162525536,A,3,325,58
A700,1477098.8429379582,A,4,361,56
A319,1477051.4973294572,A,5,426,45
P303,1473354.515853233,P,6,468,38
A721,1423002.2885983968,A,7,262,62
A758,1238649.3940590327,A,8,384,52
A724,1181875.4559488832,A,9,457,40
A223,1116167.4070763642,A,10,326,57
A695,1104942.7322685446,A,11,597,18
A717,1087004.3001508033,A,12,205,69
P276,1073807.454965879,P,13,533,24
A686,1051711.059038366,A,14,424,46
A189,1022469.9755411275,A,15,629,11
A350,985228.8970821798,A,16,492,33
A734,950791.3304326991,A,17,494,31
A534,943262.6244844712,A,18,408,47
A618,926165.5448483446,A,19,570,20
P524,905494.140535709,P,20,242,66
A607,895549.6200145349,A,21,496,28
P385,878173.3819388901,P,22,386,51
A790,876597.4831898118,A,23,444,41
A747,842480.1969375995,A,24,607,15
P337,827378.7598057201,P,25,367,55
A755,813172.2528556044,A,26,429,44
A512,779803.1160920805,A,27,712,6
P676,771346.4247707324,P,28,462,39
A766,763193.418605594,A,29,491,34
P638,754947.9174408494,P,30,502,27
P536,736180.8956343711,P,31,377,53
P35,687865.4238905906,P,32,260,63
A346,678879.7392203558,A,33,661,10
A426,671983.7471580022,A,34,597,17
A336,665319.6620702662,A,35,569,21
A642,657757.8220630735,A,36,404,48
P680,646346.4441313001,P,37,494,30
P627,555613.0408610267,P,38,430,43
P190,486558.87507763127,P,39,597,16
P167,474997.3073604207,P,40,624,12
P489,460559.37687519175,P,41,306,59
P391,448422.108828108,P,42,256,64
A640,429300.8092067336,A,43,518,25
P597,421443.55284077994,P,44,505,26
A158,410428.1929713134,A,45,824,3
P606,406639.59807481355,P,46,397,50
A557,401836.3287000774,A,47,664,9
P452,401609.8143060266,P,48,400,49
P554,381247.43134924496,P,49,580,19
A655,380572.1715749911,A,50,488,35
P551,369287.02406131534,P,51,371,54
P88,369121.1896996274,P,52,788,5
P727,365211.76333053486,P,53,101,70
A254,361349.5841260732,A,54,881,1
P129,320293.23949974065,P,55,791,4
P546,317363.6373944779,P,56,443,42
A233,301359.4832398697,A,57,621,13
P737,296326.8480145788,P,58,267,61
P694,285085.2707117469,P,59,665,8
P540,280949.7148545981,P,60,480,37
P504,279533.8326827007,P,61,255,65
P587,279523.5732261555,P,62,833,2
P449,276779.6185285221,P,63,553,22
P531,275966.16148365184,P,64,493,32
P444,241207.55602175446,P,65,685,7
P465,239290.01552313773,P,66,480,36
P507,233889.02895159947,P,67,280,60
P491,231526.9422035167,P,68,494,29
P520,231250.84366435368,P,69,614,14
P517,207744.3326261031,P,70,540,23
